dataset_id,tier,scale,algorithm,track,status,n_runs,build_time_s,qps,lat_p50_ms,lat_p95_ms,lat_p99_ms,rss_mb,index_bytes,bytes_per_insert,recall_at_k,recall_at_k_id_overlap,recall_at_k_tie_aware,update_latency_ms,energy_proxy,error_bits_min_hamming,error_bits_prefix_gap,hamming_audit_gap,online_accuracy,online_f1,adaptation_lag_steps
core:replay,server,1M,core256/predict,core,ok,5,0.0082707762,24190096.6393758,2.16e-05,3.7600000000000006e-05,5.239999999999999e-05,58.17578125,12700022.0,63.50010999999999,,,,,,,,,,,
core:replay,server,1M,core256/probe,core,ok,5,0.0088960832,22642985.693452798,2.26e-05,3.92e-05,5.5599999999999996e-05,58.17578125,12700022.0,63.50010999999999,,,,,,,254.99835,,,,
online:synthetic_drift,desktop,1M,core256/online_delayed,online,ok,1,1.156302977,34593.009614,0.000861,0.001009,0.001278,59.49609375,2540070.0,63.50175,,,,0.000865126,,96.668169296,254.510425,157.797145004,0.5005,0.338454407,-1.0
online:synthetic_drift,edge,1M,core256/online_delayed,online,ok,1,1.139799371,35093.895485,0.000846,0.000984,0.00123,59.49609375,2540070.0,63.50175,,,,0.000849981,,96.668169296,254.510425,157.797145004,0.5005,0.338454407,-1.0
online:synthetic_drift,server,1M,core256/online_delayed,online,ok,1,1.051505965,38040.678162,0.000794,0.001169,0.001403,59.49609375,2540070.0,63.50175,,,,0.000869,,96.668169296,254.510425,157.797145004,0.5005,0.338454407,-1.0
openml:adult,desktop,1M,faiss-binary-flat,ann,ok,1,0.00010800361633300781,69.03751988721675,17.974853515625,33.41412544250488,41.940927505493164,373.32421875,1600000.0,32.0,1.0,0.00546875,1.0,,,0.0,,0.0,,,
openml:adult,desktop,1M,hnswlib-l2-bits,ann,ok,1,3.734243154525757,67876.71938807763,0.011920928955078125,0.012874603271484375,0.015020370483398438,373.32421875,1600000.0,32.0,0.9921875,0.0,0.9921875,,,0.017578125,,0.07692307692307693,,,
openml:adult,desktop,1M,nmslib-hnsw-l2-bits,ann,ok,1,10.665221929550171,27507.508076189013,0.030040740966796875,0.03790855407714844,0.04315376281738281,386.1953125,1600000.0,32.0,1.0,0.00234375,1.0,,,0.0078125,,0.0,,,
openml:adult,desktop,1M,reference-exact-hamming,ann,ok,1,0.0,98.4554750463558,11.601924896240234,30.32207489013672,32.07683563232422,373.32421875,1600000.0,32.0,1.0,1.0,1.0,,,0.0,,0.0,,,
openml:adult,edge,1M,faiss-binary-flat,ann,ok,1,0.00010609626770019531,54.8252370797888,19.94800567626953,35.980939865112305,42.38295555114746,387.9375,1600000.0,32.0,1.0,0.00546875,1.0,,,0.0,,0.0,,,
