track,dataset_id,tier,scale,algorithm,status,qps,lat_p95_ms,index_mb,rss_mb,bytes_per_insert,recall_at_k,error_bits_min_hamming,qps_per_index_mb,qps_per_rss_mb
core,core:random,server,1M,core256/insert,ok,1180607.966351,0.00096,12.111602783203125,58.17578125,63.49968,,,97477.4344472654,20293.805102118848
core,core:random,server,1M,core256/insert,ok,1090292.942579,0.001208,12.111412048339844,58.17578125,63.49868,,,90021.95105140119,18741.354549132076
core,core:random,server,1M,core256/insert,ok,938474.798172,0.000917,12.111795425415039,58.17578125,63.50069,,,77484.36670278724,16131.70941596938
core,core:replay,desktop,1M,core256/match_batch,ok,98103319.472969,1.0193e-05,12.111684799194336,58.17578125,63.50011,,,8099890.403314887,1686325.7762089614
core,core:replay,desktop,1M,core256/match_batch,ok,89437518.502387,1.1181e-05,12.111684799194336,58.17578125,63.50011,,,7384399.444438675,1537366.8660854814
core,core:replay,desktop,1M,core256/match_batch,ok,89312707.456673,1.1197e-05,12.111684799194336,58.17578125,63.50011,,,7374094.433386678,1535221.4536297782
core,core:replay,desktop,1M,core256/match_batch,ok,88831996.929966,1.1257e-05,12.111684799194336,58.17578125,63.50011,,,7334404.618577514,1526958.3840778416
core,core:replay,desktop,1M,core256/match_batch,ok,88744964.277933,1.1268e-05,12.111684799194336,58.17578125,63.50011,,,7327218.776683842,1525462.355143413
core,core:replay,desktop,1M,core256/predict,ok,25738485.405957,3.5e-05,12.111684799194336,58.17578125,63.50011,,,2125095.37960145,442426.1239458129
core,core:replay,desktop,1M,core256/predict,ok,24534985.355681,3.7e-05,12.111684799194336,58.17578125,63.50011,,,2025728.5227000834,421738.8203219187
core,core:replay,desktop,1M,core256/predict,ok,24532890.694564,3.7e-05,12.111684799194336,58.17578125,63.50011,,,2025555.577222082,421702.8145980248
core,core:replay,desktop,1M,core256/predict,ok,24486337.847798,3.7e-05,12.111684799194336,58.17578125,63.50011,,,2021711.9462543165,420902.6045146235
core,core:replay,desktop,1M,core256/probe,ok,24412921.124415,3.7e-05,12.111684799194336,58.17578125,63.50011,,,2015650.3020982626,419640.6236386383
core,core:replay,desktop,1M,core256/probe,ok,24410510.580003,3.7e-05,12.111684799194336,58.17578125,63.50011,,,2015451.2757487528,419599.18810721603
core,core:replay,desktop,1M,core256/probe,ok,24325236.191962,3.7e-05,12.111684799194336,58.17578125,63.50011,,,2008410.604739326,418133.38247111207
core,core:replay,desktop,1M,core256/probe,ok,24152597.07442,3.7e-05,12.111684799194336,58.17578125,63.50011,,,1994156.673894504,415165.8397268193
core,core:replay,desktop,1M,core256/predict,ok,24148875.887939,3.7e-05,12.111684799194336,58.17578125,63.50011,,,1993849.4345184225,415101.8751972325
core,core:replay,desktop,1M,core256/probe,ok,23679282.11994,4e-05,12.111684799194336,58.17578125,63.50011,,,1955077.473739668,407029.89476295176
core,core:replay,desktop,1M,core256/insert,ok,1311205.206985,0.000964,12.111684799194336,58.17578125,63.50011,,,108259.52200078893,22538.678103012153
core,core:replay,desktop,1M,core256/insert,ok,1225130.081402,0.000914,12.111684799194336,58.17578125,63.50011,,,101152.73817920816,21059.108362244813
core,core:replay,desktop,1M,core256/insert,ok,1219572.720136,0.000919,12.111684799194336,58.17578125,63.50011,,,100693.89522233319,20963.581303620227
